sysdescription	armasterid	csrnotes	approved	remaingtime	taskstatus	ccdatesetup	ccscheduledshipdate	earlieststartdate	qtyshipped	arsalesid	jobordertype	ccmasterid	ccpromisedate	ccdescription	quantityordered	ccdescription2	ccstatus	arcsrname	description	arsalesname	arcustname
Scheduled       	LSPI    	NULL	Process Complete                                  	NULL	No Remaining Task	9/4/2019	9/18/2019	9/4/2019	15778	3	NULL	53696	9/18/2019	CIGAR SNOB Sept/Oct 19 108 PAGE + 6-PAGE COVER    	24000	NULL	1	Rose Silverio    	Mix                                               	Michele Santos   	Lockstock Publications Inc                                  
Scheduled       	BFC     	NULL	Process Complete                                  	NULL	No Remaining Task	9/6/2019	10/4/2019	9/6/2019	NULL	2	NULL	53702	10/4/2019	Driver's Manual Rev 9/23                          	40000	NULL	1	Deena Huffaker   	Mix                                               	Lorenzo Cosio    	B F C                                                       
Scheduled       	AACPA   	NULL	Process Complete                                  	NULL	Remaining Task	9/6/2019	10/3/2019	9/6/2019	2020	2	NULL	53713	10/3/2019	Classical Postcard                                	10000	NULL	1	Deena Huffaker   	Sheetfed                                          	Lorenzo Cosio    	Adrienne Arsht Center For Performing Arts                   
Scheduled       	RGNT    	NULL	Process Ready                                     	55	Remaining Task	9/6/2019	10/22/2019	10/3/2019	NULL	2	1	53710	10/24/2019	40150 Encore Brochure 64+8pg Gatefold cover       	20000	NULL	1	Armando Ruiz     	Sheetfed                                          	Lorenzo Cosio    	Regent Seven Seas Cruises                                   
Scheduled       	BFC     	NULL	Process Complete                                  	NULL	No Remaining Task	9/6/2019	10/4/2019	9/6/2019	NULL	2	NULL	53703	10/4/2019	Moped and Motorcycle Operator's Manual 128+4 PB   	40000	NULL	1	Deena Huffaker   	Mix                                               	Lorenzo Cosio    	B F C                                                       
Scheduled       	BFC     	NULL	Process Complete                                  	NULL	No Remaining Task	9/6/2019	10/4/2019	9/6/2019	NULL	2	NULL	53704	10/4/2019	Large Non Com. & Rec.Vehicles Drive 64+4 PB       	40000	NULL	1	Deena Huffaker   	Mix                                               	Lorenzo Cosio    	B F C                                                       
Scheduled       	IMSO    	Special Cartons to arrive 10/1 Must send one to customer with product in it ASAP need to pack with dunnage to fill supplied carton.  California Shipment first!	Process Complete                                  	NULL	No Remaining Task	9/6/2019	10/9/2019	9/9/2019	4800	4	NULL	53711	10/11/2019	D26P Home -Flex Gas Pipe Manual 84+4              	76800	NULL	1	Rose Silverio    	Mix                                               	Freddy Latour    	Integrated Merchandising Systems LLC                        
Scheduled       	HHAD    	NULL	Process Ready                                     	70	Remaining Task	9/6/2019	10/25/2019	10/8/2019	NULL	10	NULL	53707	10/25/2019	Sandals Main Brochure (176pg+4) SAN-37410         	100000	NULL	1	Armando Ruiz     	Mix                                               	Jorge J Hernandez	HH Advertising                                              
Scheduled       	CULV    	NULL	Process Complete                                  	NULL	No Remaining Task	9/3/2019	9/20/2019	9/3/2019	11139	2	NULL	53692	9/20/2019	#11795 SCE S Insertion Mailing                    	11300	NULL	1	Deena Huffaker   	Mix                                               	Lorenzo Cosio    	Culver Company, LLC                                         
Scheduled       	AACPA   	NULL	Process Complete                                  	NULL	No Remaining Task	9/6/2019	9/20/2019	9/6/2019	8020	2	NULL	53712	9/20/2019	Classical Mailer                                  	10000	NULL	1	Deena Huffaker   	Sheetfed                                          	Lorenzo Cosio    	Adrienne Arsht Center For Performing Arts                   
Scheduled       	AACPA   	NULL	Process Complete                                  	3	Remaining Task	10/4/2019	10/18/2019	10/4/2019	NULL	2	NULL	53926	10/18/2019	Jazz Roots Postcard                               	20000	NULL	1	Deena Huffaker   	Sheetfed                                          	Lorenzo Cosio    	Adrienne Arsht Center For Performing Arts                   
Scheduled       	SSC     	NULL	Process Ready                                     	31	Remaining Task	10/7/2019	10/23/2019	10/10/2019	NULL	1	1	53929	10/23/2019	DM1909091390 Silver Moon Booklet 24+4             	75000	NULL	1	Armando Ruiz     	Mix                                               	Robert Hernandez 	Silversea Cruises Ltd, Inc                                  
Scheduled       	STED    	NULL	Process Complete                                  	1	Remaining Task	6/10/2019	10/1/2019	6/10/2019	1480	4	NULL	53128	10/1/2019	FL Geometry Practice Book-216+4 PB                	40000	NULL	1	Deena Huffaker   	Mix                                               	Freddy Latour    	Study Edge LLC                                              
Scheduled       	SSC     	NULL	Process Complete                                  	35	Remaining Task	10/2/2019	10/21/2019	10/3/2019	NULL	1	1	53910	10/21/2019	NA1909111402 Virtuoso October Mailer Europe       	100000	see attached.	1	Armando Ruiz     	Mix                                               	Robert Hernandez 	Silversea Cruises Ltd, Inc                                  
Scheduled       	UNISF   	NULL	Process Complete                                  	39	Remaining Task	8/28/2019	10/7/2019	9/20/2019	5605	4	NULL	53667	10/7/2019	USF Magazine-Fall 2019 (64+4) Standard Size/Poly  	36000	NULL	1	Deena Huffaker   	Sheetfed                                          	Freddy Latour    	University of South Florida                                 
Scheduled       	CULV    	NULL	Process Ready                                     	6	Remaining Task	9/17/2019	10/31/2019	10/14/2019	NULL	2	NULL	53850	12/7/2018	#11789 SCE Cont. 2vers ea Brochure, Posters, Card 	14000	NULL	1	Deena Huffaker   	Sheetfed                                          	Lorenzo Cosio    	Culver Company, LLC                                         
Scheduled       	STLEO   	NULL	Process Ready                                     	39	Remaining Task	9/23/2019	10/30/2019	10/11/2019	NULL	4	NULL	53868	10/30/2019	Spirit Magazine Fall 2019 36+4 s/s                	77715	NULL	1	Deena Huffaker   	Mix                                               	Freddy Latour    	Saint Leo University                                        
Scheduled       	MCP     	NULL	Process Ready                                     	NULL	No Remaining Task	10/7/2019	10/16/2019	10/8/2019	NULL	3	NULL	53930	10/17/2019	St. Thomas/St. John This Week Nov/Dec 19 64 pg sc 	25000	NULL	1	Armando Ruiz     	Web                                               	Michele Santos   	Morris Caribbean Publications Inc                           
Scheduled       	ASAP    	NULL	Process Ready                                     	NULL	No Remaining Task	10/7/2019	10/14/2019	10/7/2019	NULL	2	NULL	53931	10/14/2019	TWX Brochure 2 Versions-16 pg s/c                 	120000	NULL	1	Deena Huffaker   	Web                                               	Lorenzo Cosio    	ASAP LLC                                                    
Scheduled       	GMS     	Send 7 samples to customer for approval before any mailing or shipments can be done.	Process Complete                                  	NULL	No Remaining Task	9/9/2019	9/30/2019	9/9/2019	7087	9	1	53719	9/30/2019	Troy Today Magazine Fall/Winter 2019 64+4         	52000	NULL	1	Armando Ruiz     	Mix                                               	Liz Suarez       	Greentree Marketing Services LLC                            
Scheduled       	MPI     	NULL	Process Complete                                  	19	Remaining Task	9/9/2019	10/16/2019	10/16/2019	NULL	10	1	53718	10/24/2019	Real Life Magazine Fall/Winter 128+4              	16000	NULL	1	Armando Ruiz     	Mix                                               	Jorge J Hernandez	Miami Print, Inc.                                           
Scheduled       	AACPA   	NULL	Process Complete                                  	NULL	No Remaining Task	9/26/2019	10/7/2019	9/26/2019	60000	2	NULL	53894	10/7/2019	Mini Brochures for 19-20 Season-2 versions        	30000	NULL	1	Deena Huffaker   	Sheetfed                                          	Lorenzo Cosio    	Adrienne Arsht Center For Performing Arts                   
