sysdescription	armasterid	csrnotes	approved	remaingtime	taskstatus	ccdatesetup	ccscheduledshipdate	earlieststartdate	qtyshipped	arsalesid	jobordertype	ccmasterid	ccpromisedate	ccdescription	quantityordered	ccdescription2	ccstatus	arcsrname	description	arsalesname	arcustname
Scheduled       	CULV    	Job will stitch	Process Complete                                  	4	Remaining Task	9/16/2019	10/7/2019	9/17/2019	53860	2	1	53845	10/7/2019	#11786 SCE AG Insertion Mailing                   	15000	AG MAILING PROJECT #11351 (QUOTE ID #3127-28-29-30-31)	1	Deena Huffaker   	Sheetfed                                          	Lorenzo Cosio    	"Culver Company, LLC                                         "
Scheduled       	IMC     	Job will stitch	Process Complete                                  	4	Remaining Task	10/3/2019	10/17/2019	10/3/2019	53860	2	1	53917	10/17/2019	Turtle Staggered Map-Revised Paper                	15000	NULL	1	Deena Huffaker   	Sheetfed                                          	Lorenzo Cosio    	Island Map Co.                                              
Ticket Hold     	AGAD    	Job will stitch	Process Complete                                  	22	No Remaining Task	8/12/2019	9/6/2019	8/12/2019	53860	2	1	53561	9/6/2019	Sea of Change Brochure 12 page self               	19332	NULL	T	Rose Silverio    	Sheetfed                                          	Lorenzo Cosio    	Aggressor Adventures LLC                                    
Scheduled       	MIADA   	Job will stitch	Process Ready                                     	41	Remaining Task	10/2/2019	11/27/2019	11/20/2019	53860	14	1	53913	11/27/2019	Miami Dade College Forum Newsletter Dec. (28pg)   	51000	NULL	1	Armando Ruiz     	Web                                               	Darren Taylor    	Miami Dade College                                          
Scheduled       	CVS     	Job will stitch	Process Complete                                  	1	Remaining Task	9/13/2019	10/9/2019	9/19/2019	53860	1	1	53837	10/14/2019	New Hire Welcome Guides 8pg                       	35000	NULL	1	Armando Ruiz     	Sheetfed                                          	Robert Hernandez 	CVS Caremark                                                
Scheduled       	MCB     	Job will stitch	Process Complete                                  	12	Remaining Task	9/27/2019	10/11/2019	9/30/2010	53860	2	1	53902	10/11/2019	MBC Program One Program 40 pg s/-2 vers covers    	13050	NULL	1	Deena Huffaker   	Sheetfed                                          	Lorenzo Cosio    	"Miami City Ballet, Inc                                      "
Scheduled       	PRFA    	Job will stitch	Process Complete                                  	1	Remaining Task	7/18/2019	10/11/2019	7/18/2019	53860	7	1	53367	10/11/2019	Hunter Douglas Press Sheets Reprint               	9000	NULL	1	Deena Huffaker   	Sheetfed                                          	Eric Hernandez   	Print Farm Inc                                              
Scheduled       	PETS    	Job will stitch	Process Complete                                  	14	Remaining Task	9/27/2019	10/22/2019	9/29/2019	53860	20	1	53900	10/22/2019	2020 Pet Supermarket Calendars 24+4               	10000	NULL	1	Rose Silverio    	Sheetfed                                          	Viviana Rauseo   	Pet Supermarket                                             
Scheduled       	ANUN    	Job will stitch	Process Ready                                     	7	Remaining Task	10/1/2019	11/15/2019	10/31/2019	53860	3	1	53907	11/15/2019	Palladium Magazine 80+4                           	10000	NULL	1	Rose Silverio    	Mix                                               	Michele Santos   	Anuncia Conmigo S.L.                                        
Scheduled       	PUBLX   	Job will stitch	NULL	55	No Remaining Task	9/23/2019	10/21/2019	9/23/2019	53860	1	1	53876	10/24/2019	11540 2019 Co-Op Aprons Thanksgiving Kitting      	1260	NULL	1	Armando Ruiz     	Kit Job                                           	Robert Hernandez 	Publix Supermarkets                                         
Scheduled       	PUBLX   	Job will stitch	Process Complete                                  	25	Remaining Task	9/23/2019	10/21/2019	9/23/2019	53860	1	1	53873	10/24/2019	11540 2019 Co-op Aprons Thanksgiving Counte Card  	1261	NULL	1	Armando Ruiz     	Sheetfed                                          	Robert Hernandez 	Publix Supermarkets                                         
Scheduled       	EDJRP   	Job will stitch	Process Complete                                  	40	Remaining Task	8/13/2019	8/30/2019	8/13/2019	53860	1	1	53572	8/30/2019	Nassau Map                                        	300000	NULL	1	Armando Ruiz     	Web                                               	Robert Hernandez 	Etienne Dupuch Jr Publications LTD                          
Scheduled       	PUBLX   	Job will stitch	Process Ready                                     	3	Remaining Task	9/23/2019	10/21/2019	10/8/2019	53860	1	1	53875	10/24/2019	11540 2019 Coop Aprons Thanksgiving Memo          	1261	NULL	1	Armando Ruiz     	Digital                                           	Robert Hernandez 	Publix Supermarkets                                         
Scheduled       	CVS     	Job will stitch	Process Complete                                  	3	No Remaining Task	3/6/2019	10/8/2019	3/12/2019	53860	1	1	52586	8/23/2019	2018 CVS PBM Anti Discrimination 1557 ACA Notice -	12500000	"2018 CVS PBM Anti Discrimination 1557 ACA Notice  PREV #63226
HOUSE STOCK"	1	Armando Ruiz     	Web                                               	Robert Hernandez 	CVS Caremark                                                
Scheduled       	STED    	Job will stitch	Process Complete                                  	2	Remaining Task	9/24/2019	10/8/2019	9/24/2019	53860	4	1	53881	10/8/2019	FL Algebra 1 Practice Book-176+4 PB Reprint       	10000	NULL	1	Deena Huffaker   	Mix                                               	Freddy Latour    	Study Edge LLC                                              
Scheduled       	HHAD    	Job will stitch	Process Complete                                  	54	Remaining Task	8/7/2019	10/10/2019	9/24/2019	53860	10	1	53534	10/10/2019	Sandals Bahama Brochure 64+4 SAN-38894            	200000	NULL	1	Armando Ruiz     	Mix                                               	Jorge J Hernandez	HH Advertising                                              
Scheduled       	STCS    	Job will stitch	Process Complete                                  	3	Remaining Task	10/2/2019	10/11/2019	10/2/2019	53860	3	1	53915	10/11/2019	NCL Encore Inserts 2 Versions                     	28000	NULL	1	Rose Silverio    	Web                                               	Michele Santos   	"Starboard Cruise Services, Inc                              "
Scheduled       	GCTC    	Job will stitch	Process Ready                                     	32	Remaining Task	10/2/2019	12/20/2019	11/19/2019	53860	9	1	53916	12/18/2019	2020 Official Gulf County Visitor Guide 80+4      	60000	NULL	1	Rose Silverio    	Mix                                               	Liz Suarez       	Gulf County Developmental Council                           
Scheduled       	STED    	Job will stitch	Process Complete                                  	5	Remaining Task	6/10/2019	10/1/2019	6/10/2019	53860	4	1	53129	10/1/2019	FL Algebra 2 Practice Book-216+4 PB               	25000	NULL	1	Deena Huffaker   	Mix                                               	Freddy Latour    	Study Edge LLC                                              
Ticket Hold     	WDW     	Job will stitch	Process Ready                                     	43	No Remaining Task	10/1/2019	10/18/2019	10/8/2019	53860	9	1	53906	10/18/2019	Companion Insert Contract 2019-2023 2nd Run       	282000	NULL	T	Rose Silverio    	Sheetfed                                          	Liz Suarez       	Walt Disney World Creative Services                         
Scheduled       	STMK    	Job will stitch	Process Ready                                     	24	Remaining Task	9/20/2019	10/31/2019	10/11/2019	53860	11	1	53863	10/31/2019	Underground Brochure-Revised No Cards 60+4        	7000	NULL	1	Deena Huffaker   	Sheetfed                                          	Pete Jacaty      	Starmark International Inc                                  
Scheduled       	CVS     	Job will stitch	Process Complete                                  	11	Remaining Task	10/1/2019	10/18/2019	10/1/2019	53860	1	1	53908	10/18/2019	2019 Flu Shopping Pass D17556RX19                 	244757	NULL	1	Armando Ruiz     	Sheetfed                                          	Robert Hernandez 	CVS Caremark                                                
Scheduled       	SSC     	Job will stitch	Process Complete                                  	82	Remaining Task	9/17/2019	10/9/2019	9/25/2019	53860	1	1	53849	10/9/2019	2020 Worldwide Brochure 74+4 PB                   	50000	NULL	1	Armando Ruiz     	Sheetfed                                          	Robert Hernandez 	"Silversea Cruises Ltd, Inc                                  "
Scheduled       	PRDG    	Job will stitch	Process Ready                                     	2	Remaining Task	10/3/2019	10/16/2019	10/3/2019	53860	4	1	53921	10/16/2019	Harry Potter Cursed Child Hang Tag-1 version      	25000	"HANG TAG LABELS
DIGITAL - PREV #62452"	1	Deena Huffaker   	Digital                                           	Freddy Latour    	"Promo Dog, Inc                                              "
Scheduled       	STED    	Job will stitch	Process Complete                                  	10	Remaining Task	9/25/2019	10/9/2019	9/25/2019	53860	4	1	53884	10/9/2019	FL Algebra 1 Course Workbook 280+4 PB             	12500	NULL	1	Deena Huffaker   	Mix                                               	Freddy Latour    	Study Edge LLC                                              
Scheduled       	ISLAN   	Job will stitch	Process Complete                                  	3	Remaining Task	9/25/2019	10/9/2019	9/26/2019	53860	10	1	53882	10/9/2019	Welcome Magazine (64pg S/C)                       	14000	NULL	1	Armando Ruiz     	Web                                               	Jorge J Hernandez	Island Publishing Serv/Caribbean Printing                   
Scheduled       	STED    	Job will stitch	Process Complete                                  	7	Remaining Task	9/25/2019	10/11/2019	9/25/2019	53860	4	1	53885	10/11/2019	FL Geometry Course Workbook 352+4-PB Reprint      	7500	NULL	1	Deena Huffaker   	Mix                                               	Freddy Latour    	Study Edge LLC                                              
Scheduled       	RCM     	Job will stitch	Process Ready                                     	27	Remaining Task	10/3/2019	10/23/2019	10/8/2019	53860	4	1	53922	10/24/2019	Rollins Magazine - Fall 2019 60+4                 	38800	"ROLLINS MAGAZINE - FALL 2018
10 X 12
1-FORM RUN AS 4-PAGER + 2-PAGER - 2-UP EACH"	1	Deena Huffaker   	Mix                                               	Freddy Latour    	Rollins College                                             
Scheduled       	CAMPUS  	Job will stitch	Process Complete                                  	2	Remaining Task	10/3/2019	10/9/2019	10/3/2019	53860	21	1	53923	10/9/2019	CampusNexus Full Suite 8 page self                	1000	NULL	1	Rose Silverio    	Digital                                           	Martin Zenor     	Campus Management Corp.                                     
Scheduled       	HERALD  	Job will stitch	Process Complete                                  	23	Remaining Task	9/25/2019	10/11/2019	9/27/2019	53860	3	1	53888	10/11/2019	SOUTH FLORIDA ARTS GUIDE 2019 24+8+4              	40570	"SOUTH FLORIDA ARTS GUIDE 2019
PREV EST #64858"	1	Rose Silverio    	Mix                                               	Michele Santos   	The Miami Herald                                            
Scheduled       	FLOIN   	Job will stitch	Process Complete                                  	19	Remaining Task	7/18/2019	10/16/2019	10/2/2019	53860	2	1	53369	10/16/2019	FIU Magazine 2019-20 32+4                         	122000	NULL	1	Deena Huffaker   	Web                                               	Lorenzo Cosio    	Florida International University                            
Scheduled       	LSPI    	Job will stitch	Process Complete                                  	19	No Remaining Task	9/4/2019	9/18/2019	9/4/2019	53860	3	1	53696	9/18/2019	CIGAR SNOB Sept/Oct 19 108 PAGE + 6-PAGE COVER    	24000	NULL	1	Rose Silverio    	Mix                                               	Michele Santos   	Lockstock Publications Inc                                  
Scheduled       	BFC     	Job will stitch	Process Complete                                  	19	No Remaining Task	9/6/2019	10/4/2019	9/6/2019	53860	2	1	53702	10/4/2019	Driver's Manual Rev 9/23                          	40000	NULL	1	Deena Huffaker   	Mix                                               	Lorenzo Cosio    	B F C                                                       
Scheduled       	AACPA   	Job will stitch	Process Complete                                  	19	Remaining Task	9/6/2019	10/3/2019	9/6/2019	53860	2	1	53713	10/3/2019	Classical Postcard                                	10000	NULL	1	Deena Huffaker   	Sheetfed                                          	Lorenzo Cosio    	Adrienne Arsht Center For Performing Arts                   
Scheduled       	RGNT    	Job will stitch	Process Ready                                     	19	Remaining Task	9/6/2019	10/22/2019	10/3/2019	53860	2	1	53710	10/24/2019	40150 Encore Brochure 64+8pg Gatefold cover       	20000	NULL	1	Armando Ruiz     	Sheetfed                                          	Lorenzo Cosio    	Regent Seven Seas Cruises                                   
Scheduled       	BFC     	Job will stitch	Process Complete                                  	19	No Remaining Task	9/6/2019	10/4/2019	9/6/2019	53860	2	1	53703	10/4/2019	Moped and Motorcycle Operator's Manual 128+4 PB   	40000	NULL	1	Deena Huffaker   	Mix                                               	Lorenzo Cosio    	B F C                                                       
Scheduled       	BFC     	Job will stitch	Process Complete                                  	19	No Remaining Task	9/6/2019	10/4/2019	9/6/2019	53860	2	1	53704	10/4/2019	Large Non Com. & Rec.Vehicles Drive 64+4 PB       	40000	NULL	1	Deena Huffaker   	Mix                                               	Lorenzo Cosio    	B F C                                                       
Scheduled       	IMSO    	Job will stitch	Process Complete                                  	19	No Remaining Task	9/6/2019	10/9/2019	9/9/2019	53860	4	1	53711	10/11/2019	D26P Home -Flex Gas Pipe Manual 84+4              	76800	NULL	1	Rose Silverio    	Mix                                               	Freddy Latour    	Integrated Merchandising Systems LLC                        
Scheduled       	HHAD    	Job will stitch	Process Ready                                     	19	Remaining Task	9/6/2019	10/25/2019	10/8/2019	53860	10	1	53707	10/25/2019	Sandals Main Brochure (176pg+4) SAN-37410         	100000	NULL	1	Armando Ruiz     	Mix                                               	Jorge J Hernandez	HH Advertising                                              
Scheduled       	CULV    	Job will stitch	Process Complete                                  	19	No Remaining Task	9/3/2019	9/20/2019	9/3/2019	53860	2	1	53692	9/20/2019	#11795 SCE S Insertion Mailing                    	11300	NULL	1	Deena Huffaker   	Mix                                               	Lorenzo Cosio    	"Culver Company, LLC                                         "
Scheduled       	AACPA   	Job will stitch	Process Complete                                  	19	No Remaining Task	9/6/2019	9/20/2019	9/6/2019	53860	2	1	53712	9/20/2019	Classical Mailer                                  	10000	NULL	1	Deena Huffaker   	Sheetfed                                          	Lorenzo Cosio    	Adrienne Arsht Center For Performing Arts                   
Scheduled       	AACPA   	Job will stitch	Process Complete                                  	19	Remaining Task	10/4/2019	10/18/2019	10/4/2019	53860	2	1	53926	10/18/2019	Jazz Roots Postcard                               	20000	NULL	1	Deena Huffaker   	Sheetfed                                          	Lorenzo Cosio    	Adrienne Arsht Center For Performing Arts                   
Scheduled       	SSC     	Job will stitch	Process Ready                                     	19	Remaining Task	10/7/2019	10/23/2019	10/10/2019	53860	1	1	53929	10/23/2019	DM1909091390 Silver Moon Booklet 24+4             	75000	NULL	1	Armando Ruiz     	Mix                                               	Robert Hernandez 	"Silversea Cruises Ltd, Inc                                  "
Scheduled       	STED    	Job will stitch	Process Complete                                  	19	Remaining Task	6/10/2019	10/1/2019	6/10/2019	53860	4	1	53128	10/1/2019	FL Geometry Practice Book-216+4 PB                	40000	NULL	1	Deena Huffaker   	Mix                                               	Freddy Latour    	Study Edge LLC                                              
Scheduled       	SSC     	Job will stitch	Process Complete                                  	19	Remaining Task	10/2/2019	10/21/2019	10/3/2019	53860	1	1	53910	10/21/2019	NA1909111402 Virtuoso October Mailer Europe       	100000	see attached.	1	Armando Ruiz     	Mix                                               	Robert Hernandez 	"Silversea Cruises Ltd, Inc                                  "
Scheduled       	AGAD    	Job will stitch	Process Complete                                  	19	Remaining Task	8/8/2019	10/17/2019	9/30/2019	53860	2	1	53541	10/24/2019	2019 Agressor Adventure Magazine 88+4             	32000	NULL	1	Rose Silverio    	Mix                                               	Lorenzo Cosio    	Aggressor Adventures LLC                                    
Scheduled       	UNISF   	Job will stitch	Process Complete                                  	19	Remaining Task	8/28/2019	10/7/2019	9/20/2019	53860	4	1	53667	10/7/2019	USF Magazine-Fall 2019 (64+4) Standard Size/Poly  	36000	NULL	1	Deena Huffaker   	Sheetfed                                          	Freddy Latour    	University of South Florida                                 
Scheduled       	CULV    	Job will stitch	Process Ready                                     	19	Remaining Task	9/17/2019	10/31/2019	10/14/2019	53860	2	1	53850	12/7/2018	"#11789 SCE Cont. 2vers ea Brochure, Posters, Card "	14000	NULL	1	Deena Huffaker   	Sheetfed                                          	Lorenzo Cosio    	"Culver Company, LLC                                         "
Scheduled       	STLEO   	Job will stitch	Process Ready                                     	19	Remaining Task	9/23/2019	10/30/2019	10/11/2019	53860	4	1	53868	10/30/2019	Spirit Magazine Fall 2019 36+4 s/s                	77715	NULL	1	Deena Huffaker   	Mix                                               	Freddy Latour    	Saint Leo University                                        
